,Date,FGM,CLOSE_DEF_DIST
92641,2015-01-05,1,2.0
92642,2015-01-05,0,6.0
92643,2015-01-05,0,0.7
92644,2015-01-05,0,3.3
92645,2015-01-05,0,2.3
92646,2015-01-05,0,3.1
92647,2015-01-05,0,5.3
92648,2015-01-05,0,2.2
92649,2015-01-05,0,2.7
92650,2015-01-05,0,4.8
92651,2015-01-05,0,4.6
92652,2015-01-03,0,2.6
92653,2015-01-03,1,5.7
92654,2015-01-03,1,2.6
92655,2015-01-03,0,6.3
92656,2015-01-03,0,3.2
92657,2015-01-03,1,2.3
92658,2015-01-03,0,2.8
92659,2015-01-03,1,1.5
92660,2015-01-03,0,1.6
92661,2015-01-03,1,15.6
92662,2015-01-03,0,4.2
92663,2015-01-03,1,4.7
92664,2015-01-03,1,2.4
92665,2015-01-03,0,3.9
92666,2015-01-03,1,1.8
92667,2015-01-03,1,5.1
92668,2015-01-03,0,3.7
92669,2015-01-02,0,11.1
92670,2015-01-02,1,2.7
92671,2015-01-02,0,2.3
92672,2015-01-02,1,4.3
92673,2015-01-02,0,2.6
92674,2015-01-02,1,3.0
92675,2015-01-02,0,3.0
92676,2015-01-02,1,4.3
92677,2015-01-02,1,2.0
92678,2015-01-02,0,5.7
92679,2015-01-02,0,1.7
92680,2015-01-02,0,2.9
92681,2015-01-02,0,6.7
92682,2014-12-31,0,4.9
92683,2014-12-31,0,3.4
92684,2014-12-31,1,4.2
92685,2014-12-31,0,6.0
92686,2014-12-31,1,1.5
92687,2014-12-31,1,8.8
92688,2014-12-31,0,1.2
92689,2014-12-31,1,2.8
92690,2014-12-31,1,3.7
92691,2014-12-31,0,4.2
92692,2014-12-31,0,1.5
92693,2014-12-31,1,8.9
92694,2014-12-31,1,0.9
92695,2014-12-31,1,5.5
92696,2014-12-31,0,0.0
92697,2014-12-31,1,3.5
92698,2014-12-31,1,4.2
92699,2014-12-31,1,3.5
92700,2014-12-31,1,3.2
92701,2014-12-29,0,3.1
92702,2014-12-29,1,2.0
92703,2014-12-29,0,5.4
92704,2014-12-29,0,1.3
92705,2014-12-29,1,2.9
92706,2014-12-29,1,2.7
92707,2014-12-29,1,6.2
92708,2014-12-29,0,3.9
92709,2014-12-29,1,4.3
92710,2014-12-29,1,3.3
92711,2014-12-29,0,4.0
92712,2014-12-29,0,1.0
92713,2014-12-29,0,3.1
92714,2014-12-29,1,1.8
92715,2014-12-29,0,3.0
92716,2014-12-29,0,4.1
92717,2014-12-29,0,3.7
92718,2014-12-29,1,4.5
92719,2014-12-29,1,5.6
92720,2014-12-29,0,1.3
92721,2014-12-29,1,1.2
92722,2014-12-29,1,4.4
92723,2014-12-29,1,3.3
92724,2014-12-28,1,5.0
92725,2014-12-28,1,2.1
92726,2014-12-28,0,2.4
92727,2014-12-28,1,5.2
92728,2014-12-28,0,3.2
92729,2014-12-28,0,5.6
92730,2014-12-28,0,3.5
92731,2014-12-28,1,2.7
92732,2014-12-28,1,2.4
92733,2014-12-28,1,0.5
92734,2014-12-28,0,2.2
92735,2014-12-28,1,2.9
92736,2014-12-28,1,17.0
92737,2014-12-28,0,3.0
92738,2014-12-28,0,3.4
92739,2014-12-28,0,1.2
92740,2014-12-28,1,10.7
92741,2014-12-28,1,4.8
92742,2014-12-26,0,6.5
92743,2014-12-26,0,11.2
92744,2014-12-26,1,3.3
92745,2014-12-26,1,1.5
92746,2014-12-26,1,3.1
92747,2014-12-26,1,3.8
92748,2014-12-26,0,3.3
92749,2014-12-26,0,3.4
92750,2014-12-26,1,4.5
92751,2014-12-26,0,1.3
92752,2014-12-26,1,2.5
92753,2014-12-26,1,3.7
92754,2014-12-26,0,4.7
92755,2014-12-26,1,4.6
92756,2014-12-26,1,2.2
92757,2014-12-26,0,2.8
92758,2014-12-26,1,12.0
92759,2014-12-22,1,4.2
92760,2014-12-22,0,3.3
92761,2014-12-22,0,3.0
92762,2014-12-22,1,3.2
92763,2014-12-22,0,0.7
92764,2014-12-22,1,2.4
92765,2014-12-22,1,3.4
92766,2014-12-22,1,2.8
92767,2014-12-22,1,3.8
92768,2014-12-22,0,6.3
92769,2014-12-22,0,4.8
92770,2014-12-22,1,3.0
92771,2014-12-22,0,0.4
92772,2014-12-22,1,1.5
92773,2014-12-22,1,0.8
92774,2014-12-22,0,5.3
92775,2014-12-22,1,0.2
92776,2014-12-22,0,1.8
92777,2014-12-22,1,3.5
92778,2014-12-22,0,5.9
92779,2014-12-22,1,4.4
92780,2014-12-22,1,3.6
92781,2014-12-22,0,2.0
92782,2014-12-22,0,3.5
92783,2014-12-22,1,4.0
92784,2014-12-22,0,2.4
92785,2014-12-20,0,4.5
92786,2014-12-20,0,7.7
92787,2014-12-20,0,3.4
92788,2014-12-20,0,6.1
92789,2014-12-20,0,5.9
92790,2014-12-20,0,2.6
92791,2014-12-20,0,3.0
92792,2014-12-20,1,6.2
92793,2014-12-20,1,2.6
92794,2014-12-20,1,3.3
92795,2014-12-20,1,4.5
92796,2014-12-20,0,8.0
92797,2014-12-20,1,1.8
92798,2014-12-20,0,0.9
92799,2014-12-20,0,2.5
92800,2014-12-20,0,3.7
92801,2014-12-18,0,4.2
92802,2014-12-18,1,13.7
92803,2014-12-18,1,2.3
92804,2014-12-18,0,3.5
92805,2014-12-18,0,1.8
92806,2014-12-18,0,1.2
92807,2014-12-18,1,4.2
92808,2014-12-18,0,4.7
92809,2014-12-18,0,2.9
92810,2014-12-18,0,2.7
92811,2014-12-18,1,1.9
92812,2014-12-18,0,5.1
92813,2014-12-18,0,2.2
92814,2014-12-18,1,2.6
92815,2014-12-18,0,5.0
92816,2014-12-18,0,4.3
92817,2014-12-18,0,2.8
92818,2014-12-18,0,2.3
92819,2014-12-18,0,2.6
92820,2014-12-18,1,0.3
92821,2014-12-18,1,3.8
92822,2014-12-18,0,4.4
92823,2014-12-18,1,3.4
92824,2014-12-17,1,6.6
92825,2014-12-17,1,3.0
92826,2014-12-17,0,3.3
92827,2014-12-17,0,4.2
92828,2014-12-17,1,2.8
92829,2014-12-17,0,4.3
92830,2014-12-17,1,0.3
92831,2014-12-17,1,2.1
92832,2014-12-17,1,1.6
92833,2014-12-17,1,4.6
92834,2014-12-17,0,5.5
92835,2014-12-17,0,6.2
92836,2014-12-17,1,5.2
92837,2014-12-17,0,4.6
92838,2014-12-17,0,0.8
92839,2014-12-17,0,4.5
92840,2014-12-17,0,4.4
92841,2014-12-17,0,4.9
92842,2014-12-17,1,3.7
92843,2014-12-17,1,2.1
92844,2014-12-17,1,4.6
92845,2014-12-13,0,5.0
92846,2014-12-13,0,3.2
92847,2014-12-13,1,4.2
92848,2014-12-13,0,1.5
92849,2014-12-13,0,2.3
92850,2014-12-13,0,2.4
92851,2014-12-13,0,4.9
92852,2014-12-13,0,2.5
92853,2014-12-13,1,3.5
92854,2014-12-13,1,1.7
92855,2014-12-13,1,5.0
92856,2014-12-13,0,6.0
92857,2014-12-13,0,1.9
92858,2014-12-13,0,0.8
92859,2014-12-13,1,0.4
92860,2014-12-13,0,3.8
92861,2014-12-13,0,0.3
92862,2014-12-13,1,2.9
92863,2014-12-13,1,4.7
92864,2014-12-13,0,3.7
92865,2014-12-11,0,1.2
92866,2014-12-11,1,4.6
92867,2014-12-11,0,4.2
92868,2014-12-11,0,4.0
92869,2014-12-11,1,3.8
92870,2014-12-11,0,3.8
92871,2014-12-11,1,3.7
92872,2014-12-11,0,2.0
92873,2014-12-11,0,4.9
92874,2014-12-11,0,5.0
92875,2014-12-11,1,4.3
92876,2014-12-11,1,5.8
92877,2014-12-11,0,8.7
92878,2014-12-11,0,4.7
92879,2014-12-11,1,1.8
92880,2014-12-11,1,2.8
92881,2014-12-11,0,1.5
92882,2014-12-11,0,0.3
92883,2014-12-11,0,2.5
92884,2014-12-11,1,0.2
92885,2014-12-11,0,2.2
92886,2014-12-11,0,2.6
92887,2014-12-11,0,4.7
92888,2014-12-11,1,1.8
92889,2014-12-11,0,2.8
92890,2014-12-11,1,2.9
92891,2014-12-11,0,2.9
92892,2014-12-11,1,1.7
92893,2014-12-11,1,3.6
92894,2014-12-11,1,3.4
92895,2014-12-11,0,3.4
92896,2014-12-11,1,4.5
92897,2014-12-10,1,0.2
92898,2014-12-10,1,1.5
92899,2014-12-10,1,5.7
92900,2014-12-10,0,0.9
92901,2014-12-10,0,3.2
92902,2014-12-10,1,5.2
92903,2014-12-10,1,3.7
92904,2014-12-10,0,0.9
92905,2014-12-10,0,1.6
92906,2014-12-10,0,7.7
92907,2014-12-10,1,4.0
92908,2014-12-10,0,4.4
92909,2014-12-10,1,3.8
92910,2014-12-10,1,4.2
92911,2014-12-10,0,7.5
92912,2014-12-10,0,3.2
92913,2014-12-10,0,2.9
92914,2014-12-10,1,2.3
92915,2014-12-10,1,1.9
92916,2014-12-10,0,5.0
92917,2014-12-10,1,2.7
92918,2014-12-10,1,4.4
92919,2014-12-10,0,4.3
92920,2014-12-10,1,2.3
92921,2014-12-10,1,5.0
92922,2014-12-10,0,5.4
92923,2014-12-10,0,2.5
92924,2014-12-06,0,0.9
92925,2014-12-06,0,5.3
92926,2014-12-06,1,3.9
92927,2014-12-06,0,4.6
92928,2014-12-06,1,2.0
92929,2014-12-06,0,2.4
92930,2014-12-06,0,1.1
92931,2014-12-06,0,2.0
92932,2014-12-06,1,1.5
92933,2014-12-06,0,1.0
92934,2014-12-06,0,6.4
92935,2014-12-06,0,1.9
92936,2014-12-06,0,2.7
92937,2014-12-06,0,3.7
92938,2014-12-06,0,6.4
92939,2014-12-06,1,4.5
92940,2014-12-06,1,5.7
92941,2014-12-06,0,3.0
92942,2014-12-06,0,2.6
92943,2014-12-06,0,7.0
92944,2014-12-06,0,3.6
92945,2014-12-05,1,1.0
92946,2014-12-05,1,5.0
92947,2014-12-05,0,3.2
92948,2014-12-05,0,1.9
92949,2014-12-05,1,5.2
92950,2014-12-05,1,2.3
92951,2014-12-05,1,2.2
92952,2014-12-05,1,2.8
