,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region
92,Brown University,Ivy League,56200.0,109000.0,55400.0,74400.0,159000.0,228000.0,Northeastern
93,Columbia University,Ivy League,59400.0,107000.0,50300.0,71900.0,161000.0,241000.0,Northeastern
94,"University of California, Berkeley",State,59900.0,112000.0,59500.0,81000.0,149000.0,201000.0,California
95,University of Virginia (UVA),State,52700.0,103000.0,52200.0,71800.0,146000.0,215000.0,Southern
96,Cal Poly San Luis Obispo,State,57200.0,101000.0,55000.0,74700.0,133000.0,178000.0,California
97,University of California at Los Angeles (UCLA),State,52600.0,101000.0,51300.0,72500.0,139000.0,193000.0,California
98,"University of California, San Diego (UCSD)",State,51100.0,101000.0,51700.0,75400.0,131000.0,177000.0,California
99,"University of California, Davis",State,52300.0,99600.0,52000.0,71600.0,135000.0,202000.0,California
100,University of Colorado - Boulder (UCB),State,47100.0,97600.0,51600.0,69000.0,128000.0,187000.0,Western
101,"University of California, Irvine (UCI)",State,48300.0,96700.0,47800.0,66000.0,123000.0,172000.0,California
102,University of Illinois at Urbana-Champaign (UIUC),State,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Midwestern
103,Texas A&M University,State,49700.0,96100.0,51100.0,71300.0,131000.0,171000.0,Southern
104,Binghamton University,State,53600.0,95900.0,50900.0,71200.0,146000.0,201000.0,Northeastern
105,University of Missouri - Rolla (UMR),State,57100.0,95800.0,67600.0,80400.0,122000.0,166000.0,Midwestern
106,San Jose State University (SJSU),State,53500.0,95600.0,50700.0,70500.0,122000.0,156000.0,California
107,"University of Maryland, College Park",State,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Southern
108,"University of California, Santa Barbara (UCSB)",State,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0,California
109,University of Texas (UT) - Austin,State,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,Southern
110,University of Michigan,State,52700.0,93000.0,50900.0,69400.0,128000.0,182000.0,Midwestern
111,Stony Brook University,State,49500.0,93000.0,47200.0,67100.0,129000.0,181000.0,Northeastern
112,State University of New York (SUNY) at Albany,State,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Northeastern
113,Rutgers University,State,50300.0,91800.0,48100.0,65100.0,128000.0,176000.0,Northeastern
114,Purdue University,State,51400.0,90500.0,49900.0,67400.0,121000.0,168000.0,Midwestern
115,University of Connecticut (UConn),State,48000.0,88800.0,46100.0,66400.0,120000.0,162000.0,Northeastern
116,University of Massachusetts (UMass) - Amherst,State,46600.0,88200.0,43100.0,61300.0,122000.0,168000.0,Northeastern
117,"California State University (CSU), Chico",State,47400.0,88100.0,46800.0,62800.0,122000.0,154000.0,California
118,University of Florida (UF),State,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Southern
119,University of Wisconsin (UW) - Madison,State,48900.0,87800.0,47400.0,62400.0,118000.0,170000.0,Midwestern
120,Louisiana State University (LSU),State,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,Southern
121,"California State University, Fullerton (CSUF)",State,45700.0,87000.0,45400.0,62500.0,119000.0,158000.0,California
122,George Mason University,State,47800.0,86900.0,51300.0,67200.0,114000.0,150000.0,Southern
123,University of Massachusetts (UMass) - Lowell,State,45400.0,86600.0,50900.0,65000.0,113000.0,158000.0,Northeastern
124,San Francisco State University (SFSU),State,47300.0,86400.0,45100.0,62700.0,114000.0,150000.0,California
125,University of Arizona,State,47500.0,86100.0,44800.0,61700.0,117000.0,160000.0,Western
126,Clemson University,State,48400.0,86000.0,50500.0,61800.0,111000.0,150000.0,Southern
127,University of Georgia (UGA),State,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0,Southern
128,Pennsylvania State University (PSU),State,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0,Northeastern
129,University of Washington (UW),State,48800.0,85300.0,47000.0,59800.0,115000.0,149000.0,Western
130,Michigan State University (MSU),State,46300.0,85300.0,44200.0,61500.0,119000.0,170000.0,Midwestern
131,University of Rhode Island (URI),State,43900.0,85300.0,45400.0,60100.0,112000.0,157000.0,Northeastern
